"CODDEPTO","DEPARTAMENTO","CODMPIO","MUNICIPIO","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"19","CAUCA","19022","ALMAGUER",,,,,,,,,,"4",,,,,,,,,,,,,,
"19","CAUCA","19050","ARGELIA","206.34","218","93","65","153","161","637","483","300","296","200","470","121","1328","959.73","1754.51","1956.52","2369.96","2351.45","2,549.58","2849.97","3085.97","3319.02","4008.42"
"19","CAUCA","19075","BALBOA","19",,"94","23","24","91","192","15","49","77","62","43","24","80","223.8","112.27","82.33","198.37","321.43","293.98","561.5","499.9","1149.36","1414.8"
"19","CAUCA","19100","BOLÍVAR",,,"0.69",,"3","21","14","4","108","142","16","20","1","24","48.98","51.71","85.31","15.9","4.19","9.58","194.88","78.68",,
"19","CAUCA","19110","BUENOS AIRES",,,,,,,,"10","5",,,,,"16","27","2.2","64.54","125.74","442.79","507.22","930.43","794.28","1467.49","2142.24"
"19","CAUCA","19130","CAJIBÍO","30.48",,,,"4",,,,"2",,,"7",,"15","68.95","132.45","407.19","323.07","355.09","235.23","325.62","364.41","567.54","805.89"
"19","CAUCA","19137","CALDONO",,,,,,,,,,,,,,,,,,,,,"66.11","76.36","25.26","21.93"
"19","CAUCA","19142","CALOTO",,,,,,,,,,,,,,,"16.1","26.26",,"1.6","18.45","9.97","8.06","7.58","11.08","8.87"
"19","CAUCA","19212","CORINTO",,,,,,,,,,,,,,,"26.7","38.91",,"10.54","10.88","8.48","11.34","8.46","21.52","18.67"
"19","CAUCA","19256","EL TAMBO","1303.03","698","187","203","629","307","803","1240","1284","1560","1514","1876","1297","2522","3468.18","5300.28","6661.01","7242.99","7102.46","7,483.6","8737.35","9223.56","9392.21","10326"
"19","CAUCA","19290","FLORENCIA",,,,,,"8",,,"12","29",,,,,,,,,,,,,,
"19","CAUCA","19318","GUAPI","55.42","102","146","374","489","121","414","1434","1368","1022","984","396","182","191","256.88","525.78","720.88","678.57","634.89","594.68","1825.15","1558.85","1610.48","1528.58"
"19","CAUCA","19364","JAMBALÓ",,,,,,,,,,,,,,,,,,,"68.96","39.14","60.52","35.86","22.33","16.49"
"19","CAUCA","19392","LA SIERRA",,,,,,,,"4",,,,,,,,,,,,,,,,"9.44"
"19","CAUCA","19397","LA VEGA",,,,,,"8",,"1",,,,,,,,,,,,,,,,
"19","CAUCA","19418","LÓPEZ","57.97","97","15","59","63","79","273","476","921","791","1040","341","548","686","867.22","941.41","1467.97","1319.76","1308.33","1,085.09","1774.56","1656.51","1866.37","1738.18"
"19","CAUCA","19450","MERCADERES",,,"2.97",,,"31","8",,"75","137","420","17","21","120","95.06","140.7","126.54","25.14",,,"45.46","25.3",,
"19","CAUCA","19455","MIRANDA",,,,,,,,,,,,,,,"3.67","5.98",,"2.27","58.69","34.51","38.46","30.87","14.39","13.22"
"19","CAUCA","19473","MORALES","101.98",,,,"9","10","118","29","32","55","32","76","17","70","155.25","166.89","340.32","309.79","361.67","393.41","648.76","783.82","1532.31","2087.8"
"19","CAUCA","19532","PATÍA  (El Bordo)",,,,,"6","83","48","105","109","82","51","58","76","97","203.53","327.96","350.34","405.01","376.95","485.32","865.86","1110.25","2908.45","3502.29"
