Periodo,Grupo,Categoria,Actividad,Sexo,hh:mm,L.i.,L.s.,cve %
2024-09_2025-08,Regiones,Caribe,Vida social,Mujer,2:03,2:00,2:05,1.0
2024-09_2025-08,Regiones,Caribe,"Vida cultural, aficiones o deporte",Total,1:43,1:41,1:46,1.3
2024-09_2025-08,Regiones,Caribe,"Vida cultural, aficiones o deporte",Hombre,1:53,1:50,1:56,1.5
2024-09_2025-08,Regiones,Caribe,"Vida cultural, aficiones o deporte",Mujer,1:29,1:25,1:32,2.0
2024-09_2025-08,Regiones,Caribe,Uso de medios de comunicación,Total,3:30,3:26,3:33,0.8
2024-09_2025-08,Regiones,Caribe,Uso de medios de comunicación,Hombre,3:34,3:30,3:38,1.0
2024-09_2025-08,Regiones,Caribe,Uso de medios de comunicación,Mujer,3:25,3:22,3:29,0.8999999999999999
2024-09_2025-08,Regiones,Caribe,Actividades de cuidado personal,Total,10:28,10:24,10:31,0.3
2024-09_2025-08,Regiones,Caribe,Actividades de cuidado personal,Hombre,10:21,10:17,10:25,0.3
2024-09_2025-08,Regiones,Caribe,Actividades de cuidado personal,Mujer,10:34,10:30,10:38,0.3
2024-09_2025-08,Regiones,Caribe,Vida religiosa,Total,0:59,0:56,1:01,2.3
2024-09_2025-08,Regiones,Caribe,Vida religiosa,Hombre,0:58,0:54,1:02,3.5000000000000004
2024-09_2025-08,Regiones,Caribe,Vida religiosa,Mujer,0:59,0:56,1:01,2.1999999999999997
2024-09_2025-08,Regiones,Caribe,Actividades conexas a las actividades personales,Total,1:05,1:00,1:10,3.9
2024-09_2025-08,Regiones,Caribe,Actividades conexas a las actividades personales,Hombre,1:04,0:58,1:10,4.8
2024-09_2025-08,Regiones,Caribe,Actividades conexas a las actividades personales,Mujer,1:07,1:01,1:13,4.5
2024-09_2025-08,Regiones,Central,Actividades personales,Total,16:44,16:37,16:52,
2024-09_2025-08,Regiones,Central,Actividades personales,Hombre,16:49,16:40,16:59,
2024-09_2025-08,Regiones,Central,Actividades personales,Mujer,16:39,16:31,16:48,
2024-09_2025-08,Regiones,Central,Educación y formación,Total,5:53,5:43,6:03,
2024-09_2025-08,Regiones,Central,Educación y formación,Hombre,5:53,5:40,6:06,
2024-09_2025-08,Regiones,Central,Educación y formación,Mujer,5:53,5:40,6:06,
2024-09_2025-08,Regiones,Central,Vida social,Total,2:02,1:59,2:05,1.4000000000000001
2024-09_2025-08,Regiones,Central,Vida social,Hombre,2:08,2:03,2:12,1.9
2024-09_2025-08,Regiones,Central,Vida social,Mujer,1:57,1:54,2:00,1.3
2024-09_2025-08,Regiones,Central,"Vida cultural, aficiones o deporte",Total,1:29,1:27,1:32,1.4000000000000001
2024-09_2025-08,Regiones,Central,"Vida cultural, aficiones o deporte",Hombre,1:38,1:35,1:42,1.9
2024-09_2025-08,Regiones,Central,"Vida cultural, aficiones o deporte",Mujer,1:20,1:17,1:22,1.5
2024-09_2025-08,Regiones,Central,Uso de medios de comunicación,Total,3:57,3:53,4:01,0.8999999999999999
2024-09_2025-08,Regiones,Central,Uso de medios de comunicación,Hombre,4:01,3:56,4:06,1.0999999999999999
2024-09_2025-08,Regiones,Central,Uso de medios de comunicación,Mujer,3:53,3:48,3:58,1.0999999999999999
2024-09_2025-08,Regiones,Central,Actividades de cuidado personal,Total,10:05,10:02,10:09,0.3
2024-09_2025-08,Regiones,Central,Actividades de cuidado personal,Hombre,9:57,9:53,10:01,0.3
2024-09_2025-08,Regiones,Central,Actividades de cuidado personal,Mujer,10:12,10:08,10:16,0.3
2024-09_2025-08,Regiones,Central,Vida religiosa,Total,0:49,0:47,0:51,1.7999999999999998
