Fecha,Departamento,Total_hogares,Suficiencia_ingreso,Hogares,Porcentaje
2019,Caquetá,134,Cubren más que los gastos mínimos,3,2.23305356
2019,Casanare,146,No alcanzan para cubrir los gastos mínimos,64,43.76695997
2019,Casanare,146,Alcanzan para cubrir los gastos mínimos,77,53.01357957
2019,Casanare,146,Cubren más que los gastos mínimos,5,3.21946046
2019,Cauca,481,No alcanzan para cubrir los gastos mínimos,237,49.39712072
2019,Cauca,481,Alcanzan para cubrir los gastos mínimos,228,47.34630733
2019,Cauca,481,Cubren más que los gastos mínimos,16,3.25657194
2019,Cesar,365,No alcanzan para cubrir los gastos mínimos,168,46.08711701
2019,Cesar,365,Alcanzan para cubrir los gastos mínimos,185,50.48791443
2019,Cesar,365,Cubren más que los gastos mínimos,13,3.42496856
2019,Córdoba,510,No alcanzan para cubrir los gastos mínimos,228,44.6709535
2019,Córdoba,510,Alcanzan para cubrir los gastos mínimos,244,47.95424439
2019,Córdoba,510,Cubren más que los gastos mínimos,38,7.37480211
2019,Cundinamarca,1054,No alcanzan para cubrir los gastos mínimos,364,34.57513196
2019,Cundinamarca,1054,Alcanzan para cubrir los gastos mínimos,614,58.29286522
2019,Cundinamarca,1054,Cubren más que los gastos mínimos,75,7.13200282
2019,Chocó,170,No alcanzan para cubrir los gastos mínimos,93,54.57041328
2019,Chocó,170,Alcanzan para cubrir los gastos mínimos,73,43.12954871
2019,Chocó,170,Cubren más que los gastos mínimos,4,2.30003802
2019,Guainía,14,No alcanzan para cubrir los gastos mínimos,8,54.54500849
2019,Guainía,14,Alcanzan para cubrir los gastos mínimos,6,41.1734579
2019,Guainía,14,Cubren más que los gastos mínimos,1,4.28153361
2019,Guaviare,31,No alcanzan para cubrir los gastos mínimos,16,52.12665685
2019,Guaviare,31,Alcanzan para cubrir los gastos mínimos,13,44.07373518
2019,Guaviare,31,Cubren más que los gastos mínimos,1,3.79960797
2019,Huila,351,No alcanzan para cubrir los gastos mínimos,134,38.18740333
2019,Huila,351,Alcanzan para cubrir los gastos mínimos,198,56.43147641
2019,Huila,351,Cubren más que los gastos mínimos,19,5.38112026
2019,La Guajira,282,No alcanzan para cubrir los gastos mínimos,189,67.10210533
2019,La Guajira,282,Alcanzan para cubrir los gastos mínimos,86,30.47922208
2019,La Guajira,282,Cubren más que los gastos mínimos,7,2.41867258
2019,Magdalena,396,No alcanzan para cubrir los gastos mínimos,222,56.11917046
2019,Magdalena,396,Alcanzan para cubrir los gastos mínimos,160,40.26682554
2019,Magdalena,396,Cubren más que los gastos mínimos,14,3.614004
2019,Meta,354,No alcanzan para cubrir los gastos mínimos,109,30.8391424
2019,Meta,354,Alcanzan para cubrir los gastos mínimos,217,61.29424861
2019,Meta,354,Cubren más que los gastos mínimos,28,7.86660899
2019,Nariño,538,No alcanzan para cubrir los gastos mínimos,270,50.24616967
2019,Nariño,538,Alcanzan para cubrir los gastos mínimos,246,45.74018698
2019,Nariño,538,Cubren más que los gastos mínimos,22,4.01364335
2019,Norte de Santander,476,No alcanzan para cubrir los gastos mínimos,186,38.97130405
2019,Norte de Santander,476,Alcanzan para cubrir los gastos mínimos,263,55.19289145
2019,Norte de Santander,476,Cubren más que los gastos mínimos,28,5.8358045
2019,Putumayo,125,No alcanzan para cubrir los gastos mínimos,64,50.83933757
2019,Putumayo,125,Alcanzan para cubrir los gastos mínimos,59,47.04856466
2019,Putumayo,125,Cubren más que los gastos mínimos,3,2.11209777
2019,Quindío,195,No alcanzan para cubrir los gastos mínimos,55,28.42457967
2019,Quindío,195,Alcanzan para cubrir los gastos mínimos,118,60.6517131
2019,Quindío,195,Cubren más que los gastos mínimos,21,10.92370723
2019,Risaralda,335,No alcanzan para cubrir los gastos mínimos,85,25.24257497
2019,Risaralda,335,Alcanzan para cubrir los gastos mínimos,217,64.87176732
2019,Risaralda,335,Cubren más que los gastos mínimos,33,9.88565771
2019,San Andrés,15,No alcanzan para cubrir los gastos mínimos,3,19.36058192
2019,San Andrés,15,Alcanzan para cubrir los gastos mínimos,10,65.73527644
2019,San Andrés,15,Cubren más que los gastos mínimos,2,14.90414164
2019,Santander,738,No alcanzan para cubrir los gastos mínimos,258,34.94453971
2019,Santander,738,Alcanzan para cubrir los gastos mínimos,422,57.13445778
2019,Santander,738,Cubren más que los gastos mínimos,58,7.92100252
2019,Sucre,271,No alcanzan para cubrir los gastos mínimos,161,59.439598
2019,Sucre,271,Alcanzan para cubrir los gastos mínimos,104,38.23806953
2019,Sucre,271,Cubren más que los gastos mínimos,6,2.32233247
2019,Tolima,479,No alcanzan para cubrir los gastos mínimos,198,41.26261046
2019,Tolima,479,Alcanzan para cubrir los gastos mínimos,247,51.6100289
2019,Tolima,479,Cubren más que los gastos mínimos,34,7.12736064
2019,Valle,1472,No alcanzan para cubrir los gastos mínimos,447,30.37959195
2019,Valle,1472,Alcanzan para cubrir los gastos mínimos,883,60.00292145
2019,Valle,1472,Cubren más que los gastos mínimos,142,9.6174866
2019,Vaupés,10,No alcanzan para cubrir los gastos mínimos,6,56.66476854
2019,Vaupés,10,Alcanzan para cubrir los gastos mínimos,4,42.53381559
2019,Vaupés,10,Cubren más que los gastos mínimos,0,0.80141587
2019,Vichada,31,No alcanzan para cubrir los gastos mínimos,21,67.66115194
2019,Vichada,31,Alcanzan para cubrir los gastos mínimos,9,30.25940428
2019,Vichada,31,Cubren más que los gastos mínimos,1,2.07944379
2020,Total nacional,16417,No alcanzan para cubrir los gastos mínimos,6618,40.3109694
2020,Total nacional,16417,Alcanzan para cubrir los gastos mínimos,8431,51.3543999
2020,Total nacional,16417,Cubren más que los gastos mínimos,1368,8.33463067
2020,Cabecera,12551,No alcanzan para cubrir los gastos mínimos,4546,36.2179697
2020,Cabecera,12551,Alcanzan para cubrir los gastos mínimos,6708,53.4421141
2020,Cabecera,12551,Cubren más que los gastos mínimos,1298,10.3399162
2020,Centros poblados y rural disperso,3865,No alcanzan para cubrir los gastos mínimos,2072,53.6025612
2020,Centros poblados y rural disperso,3865,Alcanzan para cubrir los gastos mínimos,1723,44.5747648
2020,Centros poblados y rural disperso,3865,Cubren más que los gastos mínimos,70,1.82267402
2020,Amazonas,25,No alcanzan para cubrir los gastos mínimos,13,49.7601768
2020,Amazonas,25,Alcanzan para cubrir los gastos mínimos,12,45.8883279
2020,Amazonas,25,Cubren más que los gastos mínimos,1,4.35149527
2020,Antioquia,2180,No alcanzan para cubrir los gastos mínimos,692,31.7524533
2020,Antioquia,2180,Alcanzan para cubrir los gastos mínimos,1302,59.7345671
2020,Antioquia,2180,Cubren más que los gastos mínimos,186,8.51297963
2020,Arauca,108,No alcanzan para cubrir los gastos mínimos,49,45.3468197
2020,Arauca,108,Alcanzan para cubrir los gastos mínimos,56,51.5129528
2020,Arauca,108,Cubren más que los gastos mínimos,3,3.14022751
2020,Atlántico,720,No alcanzan para cubrir los gastos mínimos,294,40.8938879
2020,Atlántico,720,Alcanzan para cubrir los gastos mínimos,377,52.3414859
2020,Atlántico,720,Cubren más que los gastos mínimos,49,6.76462614
2020,Bogotá D.C.,2692,No alcanzan para cubrir los gastos mínimos,829,30.8095524
2020,Bogotá D.C.,2692,Alcanzan para cubrir los gastos mínimos,1311,48.7141203
2020,Bogotá D.C.,2692,Cubren más que los gastos mínimos,551,20.4763273
2020,Bolívar,656,No alcanzan para cubrir los gastos mínimos,409,62.3683143
2020,Bolívar,656,Alcanzan para cubrir los gastos mínimos,218,33.2203475
2020,Bolívar,656,Cubren más que los gastos mínimos,29,4.41133816
2020,Boyacá,423,No alcanzan para cubrir los gastos mínimos,155,36.5683242
2020,Boyacá,423,Alcanzan para cubrir los gastos mínimos,247,58.4350182
2020,Boyacá,423,Cubren más que los gastos mínimos,21,4.99665756
