"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1996,"Women","Colombia","COL",0.03890030406108079,0.028910941455694818,0.05029413357764164,0.13925887834502057,0.12173894637401245,0.15841975188777246,0.06395617191271513,0.053564715696720035,0.07571203606460224,0.41086789271767743,0.38442393366192557,0.43653957653761,0.34701675096350615,0.3220647692361494,0.372636625207176,0.11188694123490282,0.09483415498512095,0.13013438927494297,0.021393531959324516,0.015951442822633284,0.027726092658287557,0.005978405150793221,0.003764132254878953,0.008954276792615878
1997,"Women","Colombia","COL",0.037627724966318735,0.028519740020366845,0.04796878940354857,0.1446326514678654,0.12778890421774058,0.16264961095033537,0.06183955348977472,0.05238669380573237,0.07249054438442117,0.40665959468918733,0.3822534271886934,0.4305758564303239,0.3492404733868538,0.3257894858301913,0.37358870655753373,0.11553524098429196,0.09913533412476372,0.13275778369053068,0.022737297621067167,0.017402209825203605,0.028922548495448862,0.006360112862506262,0.004124400127235552,0.009300359785097008
1998,"Women","Colombia","COL",0.03647940575697001,0.02813141043267732,0.045980412949091394,0.15005894144122486,0.13382376909519256,0.1670765733776765,0.05990781622782067,0.051301199314788326,0.06953334828594064,0.40242601384822246,0.3797732191596147,0.42520228751665456,0.35112782072576204,0.3291866383684576,0.37395160591238125,0.11913515664825289,0.10339365006545931,0.1356380301099074,0.024149134776389594,0.018801844380850162,0.030249335571457633,0.006774650016582392,0.0045305706051883225,0.009690609942270481
1999,"Women","Colombia","COL",0.03546891939591371,0.02769134008351335,0.044256791908909604,0.15553856745890618,0.1399834627250661,0.17149289674918794,0.058158749006821026,0.050285801564139525,0.06689841534336806,0.39815311448364615,0.3773909385639743,0.419542694506698,0.35268064765471296,0.3321277044054255,0.37439262255453654,0.12268390738926013,0.1075626170030845,0.13837010601196512,0.02563109514101028,0.020383042524845667,0.03164209531742073,0.007223564928635765,0.004947171498902848,0.01011167297575436
2000,"Women","Colombia","COL",0.03459050587209752,0.027491206605707665,0.04286732970341585,0.16099505420704074,0.14606911605647593,0.17625879848641796,0.05659975746393249,0.04924161507192298,0.0646601331847026,0.3939142913399624,0.374456489486531,0.4140014102140172,0.35390038911696686,0.33433482998811265,0.3741054836470794,0.12610147889191498,0.11153425902018647,0.1409330541010868,0.027180775454881307,0.021979590603946074,0.03313544873185797,0.007712799860244435,0.0054275022584399195,0.01057776977448839
2001,"Women","Colombia","COL",0.033832846154322596,0.02726829160151802,0.04155697245643696,0.16637974410381692,0.1518985848367225,0.18118111720356653,0.055231126150336485,0.04840200932019411,0.06273456764987048,0.38977195357570193,0.37144867890014405,0.40902023263754567,0.354784328015822,0.3360128748392954,0.3738732652480438,0.1293456484749725,0.11520864691524144,0.14374092030636645,0.028794137959607675,0.023592454745435778,0.0346553364595288,0.008239957669236719,0.005927293392837346,0.011102199247531513
2002,"Women","Colombia","COL",0.033185773737775544,0.027027391994331317,0.04047510254003114,0.17173930555437245,0.15760149125681236,0.18602796813162123,0.05400374699781135,0.04759425585704057,0.06098599005164988,0.38565907091531726,0.3683057687416621,0.4039421809598106,0.35541210079472335,0.3375034307931654,0.37355099788662316,0.13245465858305133,0.11882340183099478,0.1462647257822618,0.03047473483779849,0.02530940388246373,0.03634457302894234,0.008809912133522628,0.006464373176676676,0.011698402372768152
2003,"Women","Colombia","COL",0.03261545236454604,0.026931603276750746,0.0393924328031622,0.1771178498471588,0.1632510878224682,0.19121543369577051,0.05289184969362346,0.04687591225821663,0.05944118126397616,0.3815531544487343,0.3651831645754753,0.39917535132682,0.35582169164593735,0.338800705757339,0.3730174149743689,0.1354776886619884,0.12232769000255983,0.14899419486608428,0.032215887091810766,0.026923183778009153,0.03800837059228773,0.00942427409335966,0.0070360529362558264,0.012303645047010677
2004,"Women","Colombia","COL",0.032101671298906086,0.02667648900480751,0.03843121655360799,0.1825591262847057,0.16900717816104205,0.1962309952052451,0.05184342525742229,0.04617526306890169,0.058083752289060396,0.3774238574145469,0.36151769495091524,0.39391052607553945,0.356071917744419,0.3398638532567405,0.3728029605082031,0.13846282956134473,0.1257376828806152,0.15138842494018262,0.03400937597968588,0.02865956120129691,0.03989225511912458,0.01008692074367508,0.007646911988050769,0.013031541610116831
2005,"Women","Colombia","COL",0.03162515664358321,0.02647922960205626,0.03750689627044061,0.1881219163698717,0.1747155652615585,0.20152478374530877,0.050851007752866,0.04556705254232247,0.056678839694855675,0.3731778883284541,0.35784817896075216,0.38897186898880826,0.3562240289052249,0.34072305961948507,0.372301356803718,0.14146974742734142,0.12911897970508404,0.15403556420208242,0.035845204577401785,0.03047814856211535,0.041748459046505204,0.010806964365128478,0.0082861312382213545,0.013690542552224256
