"FECHA","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","GRUPO"
"2023 Oct 20 12:00:00 AM","41","HUILA","41298","GARZON","GAOR"
"2023 Oct 20 12:00:00 AM","50","META","50313","GRANADA","GAOR"
"2023 Oct 20 12:00:00 AM","50","META","50711","VISTAHERMOSA","GAOR"
"2023 Oct 24 12:00:00 AM","05","ANTIOQUIA","05790","TARAZA","CLAN DEL GOLFO"
"2023 Oct 24 12:00:00 AM","05","ANTIOQUIA","05790","TARAZA","CLAN DEL GOLFO"
"2023 Oct 24 12:00:00 AM","18","CAQUETA","18001","FLORENCIA","GAOR"
"2023 Oct 25 12:00:00 AM","76","VALLE DEL CAUCA","76111","GUADALAJARA DE BUGA","GAOR"
"2023 Oct 30 12:00:00 AM","76","VALLE DEL CAUCA","76111","GUADALAJARA DE BUGA","GAOR"
"2023 Oct 30 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","GAOR"
"2023 Oct 30 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","GAOR"
