"iso","alert__year","alert__week","alert__count","confidence__cat"
"COL",2023,42,14,"h"
"COL",2018,50,28,"h"
"COL",2012,27,13,"h"
"COL",2013,6,180,"h"
"COL",2019,51,7,"h"
"COL",2021,37,52,"h"
"COL",2012,45,35,"h"
"COL",2021,35,20,"h"
"COL",2026,27,13,"h"
"COL",2017,51,148,"h"
"COL",2021,5,79,"h"
"COL",2020,32,11,"h"
"COL",2021,7,279,"h"
"COL",2020,5,201,"h"
"COL",2015,7,31,"h"
"COL",2022,12,143,"h"
"COL",2019,36,69,"h"
"COL",2012,22,4,"h"
"COL",2018,22,1,"h"
"COL",2017,47,14,"h"
"COL",2021,50,8,"h"
"COL",2022,1,801,"h"
"COL",2022,42,11,"h"
"COL",2014,26,8,"h"
"COL",2016,9,244,"h"
"COL",2025,12,80,"h"
"COL",2019,6,222,"h"
"COL",2024,36,63,"h"
"COL",2025,28,4,"h"
"COL",2016,10,741,"h"
"COL",2023,22,7,"h"
"COL",2013,45,3,"h"
"COL",2018,13,220,"h"
"COL",2023,25,3,"h"
"COL",2019,22,1,"h"
"COL",2023,16,8,"h"
"COL",2022,17,4,"h"
"COL",2015,50,25,"h"
"COL",2024,42,49,"h"
"COL",2019,8,540,"h"
"COL",2022,46,11,"h"
"COL",2013,42,18,"h"
"COL",2021,29,49,"h"
"COL",2012,38,34,"h"
"COL",2019,28,4,"h"
"COL",2020,22,4,"h"
"COL",2014,42,17,"h"
"COL",2014,5,623,"h"
"COL",2025,35,19,"h"
"COL",2020,20,6,"h"
"COL",2016,30,45,"h"
"COL",2012,47,49,"h"
"COL",2022,40,9,"h"
"COL",2016,13,140,"h"
"COL",2016,3,213,"h"
"COL",2019,48,14,"h"
"COL",2012,25,53,"h"
"COL",2024,37,52,"h"
"COL",2023,2,22,"h"
"COL",2021,31,37,"h"
"COL",2026,6,54,"h"
"COL",2023,27,4,"h"
"COL",2016,43,18,"h"
"COL",2022,8,993,"h"
"COL",2017,44,11,"h"
"COL",2025,8,112,"h"
"COL",2020,9,342,"h"
"COL",2022,50,41,"h"
"COL",2026,22,5,"h"
"COL",2023,47,34,"h"
"COL",2026,33,105,"h"
"COL",2018,16,7,"h"
"COL",2025,34,71,"h"
"COL",2025,50,19,"h"
"COL",2013,29,10,"h"
"COL",2013,19,10,"h"
"COL",2016,42,24,"h"
"COL",2025,2,122,"h"
"COL",2013,30,67,"h"
"COL",2022,9,54,"h"
"COL",2013,15,48,"h"
"COL",2012,39,19,"h"
"COL",2021,13,58,"h"
"COL",2015,11,526,"h"
"COL",2020,46,6,"h"
"COL",2015,30,65,"h"
"COL",2012,5,82,"h"
"COL",2017,27,17,"h"
"COL",2016,23,12,"h"
"COL",2012,21,10,"h"
"COL",2015,45,7,"h"
"COL",2019,10,190,"h"
"COL",2019,23,2,"h"
"COL",2018,28,39,"h"
"COL",2014,12,436,"h"
"COL",2023,52,5,"h"
"COL",2018,32,159,"h"
"COL",2024,16,109,"h"
"COL",2021,48,17,"h"
"COL",2021,16,63,"h"
"COL",2019,38,8,"h"
"COL",2024,1,132,"h"
"COL",2018,20,7,"h"
"COL",2014,24,8,"h"
"COL",2017,9,335,"h"
"COL",2022,39,4,"h"
"COL",2021,51,78,"h"
"COL",2018,40,14,"h"
"COL",2012,30,94,"h"
"COL",2015,40,22,"h"
"COL",2013,32,11,"h"
"COL",2025,13,320,"h"
"COL",2015,33,19,"h"
"COL",2012,19,4,"h"
