Ambito,Codigo,Tipo,Concepto,Partido,Votos,Porcentaje
BOYACA,15,Candidato,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,151,0.02
BOYACA,15,Escrutinio,Votos en blanco,,10340,1.54
BOYACA,15,Escrutinio,Votos nulos,,7362,1.08
BOYACA,15,Escrutinio,No marcados,,1109,0.16
BOYACA,15,Escrutinio,Abstención,,361660,34.79
CALDAS,17,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,218852,44.54
CALDAS,17,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,146202,29.76
CALDAS,17,Candidato,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,61889,12.59
CALDAS,17,Candidato,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,26703,5.43
CALDAS,17,Candidato,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,13812,2.81
CALDAS,17,Candidato,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,6093,1.24
CALDAS,17,Candidato,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,4908,0.99
CALDAS,17,Candidato,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,1098,0.22
CALDAS,17,Candidato,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",611,0.12
CALDAS,17,Candidato,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,468,0.09
CALDAS,17,Candidato,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,359,0.07
CALDAS,17,Candidato,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,285,0.05
CALDAS,17,Candidato,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,147,0.02
CALDAS,17,Escrutinio,Votos en blanco,,9832,2.0
CALDAS,17,Escrutinio,Votos nulos,,9719,1.93
CALDAS,17,Escrutinio,No marcados,,1829,0.36
CALDAS,17,Escrutinio,Abstención,,325864,39.32
CAQUETA,18,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,81783,47.74
CAQUETA,18,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,66468,38.8
