Fecha,Perspectiva,Sexo,Concepto,Valor
2025,Total cabeceras,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,297.519
2022,Total cabeceras,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,468.385
2023,Total cabeceras,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,412.321
2024,Total cabeceras,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,387.657
2025,Total cabeceras,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,369.403
2022,Total centros poblados y rural disperso,Hombres,Tasa de Trabajo Infantil (TTI),9.6688019675
2023,Total centros poblados y rural disperso,Hombres,Tasa de Trabajo Infantil (TTI),9.2798355327
2024,Total centros poblados y rural disperso,Hombres,Tasa de Trabajo Infantil (TTI),8.1279371014
2025,Total centros poblados y rural disperso,Hombres,Tasa de Trabajo Infantil (TTI),7.9158729745
2022,Total centros poblados y rural disperso,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),12.923571444
2023,Total centros poblados y rural disperso,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),12.255558859
2024,Total centros poblados y rural disperso,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),12.366999238
2025,Total centros poblados y rural disperso,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),11.591666025
2022,Total centros poblados y rural disperso,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),14.571074409
2023,Total centros poblados y rural disperso,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),14.423852521
2024,Total centros poblados y rural disperso,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),13.467081892
2025,Total centros poblados y rural disperso,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),12.851628537
2022,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años,1516.991
2023,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años,1469.918
2024,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años,1539.572
2025,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años,1550.142
2022,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años que trabajan,146.675
2023,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años que trabajan,136.406
2024,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años que trabajan,125.135
2025,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años que trabajan,122.707
2022,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,49.375
2023,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,43.741
2024,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,65.263
2025,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,56.98
2022,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,74.367
2023,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,75.613
2024,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,82.2
2025,Total centros poblados y rural disperso,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,76.511
2022,Total centros poblados y rural disperso,Mujeres,Tasa de Trabajo Infantil (TTI),4.2414327448
2023,Total centros poblados y rural disperso,Mujeres,Tasa de Trabajo Infantil (TTI),3.0857933005
2024,Total centros poblados y rural disperso,Mujeres,Tasa de Trabajo Infantil (TTI),3.6455330452
2025,Total centros poblados y rural disperso,Mujeres,Tasa de Trabajo Infantil (TTI),2.3130023262
2022,Total centros poblados y rural disperso,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),19.497960134
2023,Total centros poblados y rural disperso,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),19.459250034
2024,Total centros poblados y rural disperso,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),18.9762007
2025,Total centros poblados y rural disperso,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),18.059552835
2022,Total centros poblados y rural disperso,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),21.716310327
2023,Total centros poblados y rural disperso,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),21.725869065
2024,Total centros poblados y rural disperso,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),20.968995172
2025,Total centros poblados y rural disperso,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),20.552323798
2022,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años,1387.818
2023,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años,1343.125
2024,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años,1335.711
2025,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años,1424.559
2022,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años que trabajan,58.863
2023,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años que trabajan,41.446
2024,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años que trabajan,48.694
2025,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años que trabajan,32.95
2022,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,211.733
2023,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,219.916
2024,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,204.773
2025,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,224.319
2022,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,242.519
2023,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,250.36
2024,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,231.391
2025,Total centros poblados y rural disperso,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,259.83
